credit.policy,purpose:educational,purpose:major_purchase,purpose:small_business,purpose:home_improvement,purpose:all_other,purpose:credit_card,purpose:debt_consolidation,int.rate,installment,log.annual.inc,dti,fico,days.with.cr.line,revol.bal,revol.util,inq.last.6mths,delinq.2yrs,pub.rec,not.fully.paid
1,0,0,0,0,0,0,1,0.1189,829.1,11.3504,19.48,737,5639.96,28854,52.1,0,0,0,0
1,0,0,0,0,0,1,0,0.1071,228.22,11.0821,14.29,707,2760,33623,76.7,0,0,0,0
1,0,0,0,0,0,0,1,0.1357,366.86,10.3735,11.63,682,4710,3511,25.6,1,0,0,0
1,0,0,0,0,0,0,1,0.1008,162.34,11.3504,8.1,712,2699.96,33667,73.2,1,0,0,0
1,0,0,0,0,0,1,0,0.1426,102.92,11.2997,14.97,667,4066,4740,39.5,0,1,0,0
1,0,0,0,0,0,1,0,0.0788,125.13,11.905,16.98,727,6120.04,50807,51,0,0,0,0
1,0,0,0,0,0,0,1,0.1496,194.02,10.7144,4,667,3180.04,3839,76.8,0,0,1,1
1,0,0,0,0,1,0,0,0.1114,131.22,11.0021,11.08,722,5116,24220,68.6,0,0,0,1
1,0,0,0,1,0,0,0,0.1134,87.19,11.4076,17.25,682,3989,69909,51.1,1,0,0,0
1,0,0,0,0,0,0,1,0.1221,84.12,10.2036,10,707,2730.04,5630,23,1,0,0,0
1,0,0,0,0,0,0,1,0.1347,360.43,10.4341,22.09,677,6713.04,13846,71,2,0,1,0
1,0,0,0,0,0,0,1,0.1324,253.58,11.835,9.16,662,4298,5122,18.2,2,1,0,0
1,0,0,0,0,0,0,1,0.0859,316.11,10.9331,15.49,767,6519.96,6068,16.7,0,0,0,0
1,0,0,1,0,0,0,0,0.0714,92.82,11.5129,6.5,747,4384,3021,4.8,0,1,0,0
1,0,0,0,0,0,0,1,0.0863,209.54,9.48797,9.73,727,1559.96,6282,44.6,0,0,0,0
1,0,1,0,0,0,0,0,0.1103,327.53,10.7389,13.04,702,8159.96,5394,53.4,1,0,0,0
1,0,0,0,0,1,0,0,0.1317,77.69,10.5228,2.26,672,3895.96,2211,88.4,0,0,0,0
1,0,0,0,0,0,1,0,0.0894,476.58,11.6082,7.07,797,6510.96,7586,52.7,1,0,0,0
1,0,0,0,0,0,0,1,0.1039,584.12,10.4913,3.8,712,2760,8311,59.8,0,0,0,0
1,0,1,0,0,0,0,0,0.1513,173.65,11.0021,2.74,667,1126.96,591,84.4,3,0,0,0
1,0,0,0,0,1,0,0,0.08,188.02,11.2252,16.08,772,4888.96,29797,23.2,1,0,0,0
1,0,0,0,0,1,0,0,0.0863,474.42,10.8198,2.59,797,11951,5656,27.6,0,0,0,0
1,0,0,0,0,0,1,0,0.1355,339.6,11.5129,7.94,662,1939.96,21162,57.7,0,0,0,0
1,0,0,0,0,0,1,0,0.0788,484.85,11.7361,7.05,782,5640.04,16931,34.6,1,0,0,0
1,0,0,0,0,0,0,1,0.1229,320.19,11.2645,8.8,672,3760.96,4822,58.1,0,0,1,0
1,0,0,0,0,1,0,0,0.0901,159.03,12.4292,10,712,1553.96,14354,36.6,0,2,0,0
1,0,0,0,0,1,0,0,0.0743,155.38,11.0821,0.28,802,4649.96,1576,5.7,1,0,0,0
1,0,0,0,0,0,0,1,0.1375,255.43,9.9988,14.29,662,1318.96,4175,51.5,0,1,0,0
1,0,0,0,0,1,0,0,0.0743,155.38,12.2061,0.28,772,4516.96,3164,13.7,0,0,0,0
